Sample_ID,d7Li,lgm,glacier,river_width,perprob,magtm,MAT,PET,SaltDep,rorc,rclay,tot_per_sil_sed_su_ss,tot_per_carb_sed_sc_sm_ev,tot_per_mt_plt_vl_py,random,mean_dem,acc_base,acc_map,acc_depth
RODO,31.35,0,0,26,0.198536,0.724272,-2.849,404.925369,-0.000754,229.344247,11.033148,97.70868,0,2.21594,0.799778148,730.315,112.01,450.98,123.13
UPPER NULATO,22.43,0,0,41,0.434263,-0.009697,-3.250818,361.4798,-0.000811,211.924795,11.806169,83.56148,16.35744,0,0.132187817,1753.972,115.53,459.28,128.4
YUKON MAIN STEM,16.05,37.4339,37.3964,408,0.591436,-0.814902,-4.902677,480.240646,0,192.45621,13.724492,33.05864,31.18358,34.32946,0.457596757,1941.993,589.8,306.03,97.44
KOYUKUK MAIN STEM,19.69,11.5989,0,265,0.590833,-0.969093,-5.006952,425.19116,0,208.665594,12.685824,5.71379,61.58274,32.70322,0.648571509,1118.647,228.2,331.72,100
KOYUKUK MAIN STEM,19.36,11.5983,0,228,0.59083,-0.969107,-5.006994,425.194165,-0.000007,208.667066,12.685907,5.71312,61.58176,32.6992,0.794205304,1120.782,228.63,332.35,100.19
GISASA,25.5,0,0,11,0.477898,-0.08434,-3.432128,373.451049,-0.000112,218.160302,11.826558,42.02543,57.96333,0,0.59788963,1104.2,92.4,353.99,102.67
KATEEL,30.51,0,0,36,0.610017,-0.446456,-3.438884,367.714892,-0.000016,221.076841,12.119613,9.6474,90.29255,0.05681,0.347911867,925.879,90.53,332.37,100.59
KOYUKUK MAIN STEM,17.13,14.0943,0,182,0.621883,-1.186841,-5.352228,428.041324,-0.000006,205.532288,12.77653,4.1547,64.30564,31.53491,0.705547576,1240.851,258.33,328.95,100.15
SULUKANA,23.08,0,0,30,0.132002,1.287577,-2.487788,464.437143,-0.000037,218.818208,12.084952,26.91107,67.57149,5.51013,0.763930324,1141.92,316.59,392.66,100.49
SETHKOKNA,18.92,0,0,35,0.095056,1.298655,-2.779654,467.153178,-0.000531,223.103771,10.995174,0,71.27379,28.62003,0.570652115,1276.692,349.84,428.64,116.91
NOWITNA,24.5,0,0,35,0.14149,1.21035,-2.785867,478.544513,-0.00002,220.962561,11.600183,22.2898,53.63432,24.06168,0.119144867,784.36,349.3,384.79,100.57
